College/University,City,State,Division,Teams,
Abilene Christian University,Abilene,TX,NCAA I,M,W
Abraham Baldwin Agricultural College,Tifton,GA,NJCAA,M,
Academy of Art University,San Francisco,CA,NCAA II,M,W
Adams State University,Alamosa,CO,NCAA II,,W
Adelphi University,Garden City,NY,NCAA II,M,W
Adirondack CC,Queensbury,NY,NJCAA,M,W
Adrian College,Adrian,MI,NCAA III,M,W
Alabama A & M University,Normal,AL,NCAA I,M,
Alabama State University,Montgomery,AL,NCAA I,M,W
Albertus Magnus College,New Haven,CT,NCAA III,M,
Albion College,Albion,MI,NCAA III,M,W
Albright College,Reading,PA,NCAA III,M,W
Alexandria Technical & CC,Alexandria,MN,NJCAA,M,W
Alice Lloyd College,Pippa Passes,KY,NAIA,M,
Allan Hancock College,Santa Maria,CA,CCCAA,M,W
Allegheny College,Meadville,PA,NCAA III,M,W
Alma College,Alma,MI,NCAA III,M,W
Alvernia University,Reading,PA,NCAA III,M,W
Alverno College,Milwaukee,WI,NCAA III,,W
American International College,Springfield,MA,NCAA II,M,W
American River College,Sacramento,CA,CCCAA,M,
Amherst College,Amherst,MA,NCAA III,M,W
Ancilla College,Donaldson,IN,NJCAA,M,W
Anderson University,Anderson,IN,NCAA III,M,W
Anderson University,Anderson,SC,NCAA II,M,W
Andrew College,Cuthbert,GA,NJCAA,M,
Angelo State University,San Angelo,TX,NCAA II,,W
Anne Arundel CC,Arnold,MD,NJCAA,M,
Antelope Valley College,Lancaster,CA,CCCAA,M,W
Appalachian State University,Boone,NC,NCAA I,M,W
Aquinas College,Grand Rapids,MI,NAIA,M,W
Arcadia University,Glenside,PA,NCAA III,M,W
Arizona Christian University,Phoenix,AZ,NAIA,M,W
Arizona State University,Tempe,AZ,NCAA I,M,W
Arkansas State University,Jonesboro,AR,NCAA I,M,W
Arkansas Tech University,Russellville,AR,NCAA II,M,W
Asbury University,Wilmore,KY,NCAA III,M,W
Ashland University,Ashland,OH,NCAA II,M,W
Assumption College,Worcester,MA,NCAA II,M,W
Auburn University,Auburn,AL,NCAA I,M,W
Augsburg College,Minneapolis,MN,NCAA III,M,W
Augusta University,Augusta,GA,NCAA I,M,W
Augustana College,Rock Island,IL,NCAA III,M,W
Augustana University,Sioux Falls,SD,NCAA II,M,W
Aurora University,Aurora,IL,NCAA III,M,W
Austin Peay State University,Clarksville,TN,NCAA I,M,W
Ave Maria University,Ave Maria,FL,NAIA,M,W
Averett University,Danville,VA,NCAA III,M,W
Babson College,Wellesley,MA,NCAA III,M,W
Bacone College,Muskogee,OK,NAIA,M,W
Baker University,Baldwin City,KS,NAIA,M,W
Bakersfield College,Bakersfield,CA,CCCAA,M,W
Baldwin Wallace University,Berea,OH,NCAA III,M,W
Ball State University,Muncie,IN,NCAA I,M,W
Baptist Bible College,Springfield,MO,NCCAA,M,W
Barnard (Columbia Univ),New York,NY,NCAA I,,W
Barry University,Miami,FL,NCAA II,M,W
Barton College,Wilson,NC,NCAA II,M,W
Barton County CC,Great Bend,KS,NJCAA,M,W
Bates College,Lewiston,ME,NCAA III,M,W
Baylor University,Waco,TX,NCAA I,M,W
Belhaven University,Jackson,MS,NCAA III,M,
Bellarmine University,Louisville,KY,NCAA I,M,W
Bellevue College,Bellevue,WA,NWAC,M,W
Bellevue University,Bellevue,NE,NAIA,M,W
Belmont Abbey College,Belmont,NC,NCAA II,M,W
Belmont University,Nashville,TN,NCAA I,M,W
Bemidji State University,Bemidji,MN,NCAA II,M,W
Benedictine University,Lisle,IL,NCAA III,M,W
Benedictine University - Mesa,Mesa,AZ,NAIA,M,W
Bentley University,Waltham,MA,NCAA II,M,
Berea College,Berea,KY,NCAA III,M,
Berry College,Mount Berry,GA,NCAA III,M,W
Bethany College,Lindsborg,KS,NAIA,M,W
Bethany College,Bethany,WV,NCAA III,M,W
Bethany Lutheran College,Mankato,MN,NCAA III,M,W
Bethel College,Mishawaka,IN,NAIA,M,W
Bethel College,North Newton,KS,NAIA,M,
Bethel University,Saint Paul,MN,NCAA III,M,W
Bethel University,McKenzie,TN,NAIA,M,W
Bethune-Cookman University,Daytona Beach,FL,NCAA I,,W
Binghamton University,Vestal,NY,NCAA I,M,
Biola University,La Mirada,CA,NCAA II,,W
Bishop State CC,Mobile,AL,NJCAA,M,W
Black Hawk College,Moline,IL,NJCAA,M,
Black Hills State University,Spearfish,SD,NCAA II,,W
Blackburn College,Carlinville,IL,NCAA III,M,W
Blinn College,Brenham,TX,NJCAA,M,W
Bloomsburg University,Bloomsburg,PA,NCAA II,M,W
Blue Mountain College,Blue Mountain,MS,NAIA,M,W
Bluefield College,Bluefield,VA,NAIA,M,
Bluefield State University,Bluefield,WV,NCAA II,M,W
Bluffton University,Bluffton,OH,NCAA III,M,W
Bob Jones University,Greenville,SC,NCAA III,M,
Boise State University,Boise,ID,NCAA I,M,W
Boston College,Chestnut Hill,MA,NCAA I,M,W
Boston University,Boston,MA,NCAA I,,W
Bowdoin College,Brunswick,ME,NCAA III,M,W
Bowling Green State University,Bowling Green,OH,NCAA I,M,W
Bradley University,Peoria,IL,NCAA I,M,W
Brenau University,Gainesville,GA,NAIA,,W
Brescia University,Owensboro,KY,NAIA,M,W
Brewton-Parker College,Mount Vernon,GA,NAIA,M,
Briar Cliff University,Sioux City,IA,NAIA,M,W
Bridgewater College,Bridgewater,VA,NCAA III,M,W
Brigham Young University,Provo,UT,NCAA I,M,W
Bristol CC,Fall River,MA,NJCAA,M,W
Bryan College,Dayton,TN,NAIA,M,W
Bryant & Stratton College,Wauwatosa,WI,NJCAA,M,W
Bryant University,Smithfield,RI,NCAA I,M,W
Bucknell University,Lewisburg,PA,NCAA I,M,W
Buena Vista University,Storm Lake,IA,NCAA III,M,W
Bushnell University,Eugene,OR,NAIA,M,W
Butler County CC,Butler,PA,NJCAA,M,W
Butler University,Indianapolis,IN,NCAA I,M,W
Butte College,Oroville,CA,CCCAA,,W
Cal Poly - San Luis Obispo,San Luis Obispo,CA,NCAA I,M,W
Cal State - Bakersfield,Bakersfield,CA,NCAA I,,W
Cal State - Dominguez Hills,Carson,CA,NCAA II,M,
Cal State - East Bay,Hayward,CA,NCAA II,M,W
Cal State - Los Angeles,Los Angeles,CA,NCAA II,,W
Cal State - Monterey Bay,Seaside,CA,NCAA II,M,W
Cal State - Northridge,Northridge,CA,NCAA I,M,W
Cal State - San Bernardino,San Bernardino,CA,NCAA II,M,
Cal State - San Marcos,San Marcos,CA,NCAA II,M,W
Cal State Fullerton,Fullerton,CA,NCAA I,M,W
Calhoun State CC,Tanner,AL,NJCAA,M,W
California Baptist University,Riverside,CA,NCAA I,M,W
California Lutheran University,Thousand Oaks,CA,NCAA III,M,W
California Maritime Academy,Vallejo,CA,NAIA,M,W
California University of PA,California,PA,NCAA II,M,W
Calvin College,Grand Rapids,MI,NCAA III,M,W
Camden County College,Blackwood,NJ,NJCAA,M,W
Cameron University,Lawton,OK,NCAA II,M,W
Campbell University,Buies Creek,NC,NCAA I,M,W
Campbellsville University,Campbellsville,KY,NAIA,M,W
Campbellsville University - Harrodsburg,Harrodsburg,KY,NCCAA,M,W
Canisius College,Buffalo,NY,NCAA I,M,
Capital University,Columbus,OH,NCAA III,M,W
Carl Sandburg College,Galesburg,IL,NJCAA,M,W
Carleton College,Northfield,MN,NCAA III,M,W
Carlow University,Pittsburgh,PA,NAIA,M,W
Carnegie Mellon University,Pittsburgh,PA,NCAA III,M,W
Carroll College,Helena,MT,NAIA,M,W
Carroll Community College,Westminster,MD,NJCAA,M,W
Carroll University,Waukesha,WI,NCAA III,M,W
Carson-Newman University,Jefferson City,TN,NCAA II,M,W
Carthage College,Kenosha,WI,NCAA III,M,W
Castleton University,Castleton,VT,NCAA III,M,
Catawba College,Salisbury,NC,NCAA II,M,W
Catholic University,Washington,DC,NCAA III,M,W
